anzahl;vorname;geschlecht
1;Ragnar;m
1;Rainer;m
2;Ralf;m
1;Ramadan;m
2;Rami;m
1;Ramon;m
1;Ramzy;m
1;Randy;m
1;Raoul;m
1;Raphaël;m
8;Raphael;m
2;Rasmus;m
1;Raul;m
4;Rayan;m
1;Rayane;m
1;Rayen;m
1;Rayyan;m
1;Ređzep;m
1;Reda;m
1;Reduan;m
1;Reiner;m
1;Reinhard;m
1;Rejan;m
5;René;m
1;Rene;m
1;Reshat;m
2;Ricardo;m
1;Riccardo;m
11;Richard;m
1;Ricky;m
1;Rida;m
1;Rihito;m
1;Rik;m
1;Rilon;m
2;Rinor;m
1;Rio;m
1;Rion;m
2;Riyad;m
1;Rob;m
11;Robert;m
1;Roberto;m
13;Robin;m
1;Rocco;m
1;Rocky;m
1;Roderich;m
2;Roger;m
1;Roj;m
1;Rokko;m
1;Roland;m
5;Rolf;m
8;Roman;m
1;Romanovič;m
5;Romeo;m
1;Roni;m
1;Rubén;m
4;Ruben;m
3;Rudolf;m
1;Ruoyu;m
1;Rusit;m
1;Ruthro;m
3;Ryan;m
1;Søren;m
3;Sören;m
1;Süleyman;m
1;Saad;m
1;Sabry;m
1;Sabur;m
1;Sadik;m
1;Sahin;m
1;Saif;m
1;Salaheddine;m
4;Salih;m
5;Sam;m
1;Saman;m
1;Samba;m
2;Samed;m
1;Samer;m
1;Samet;m
9;Sami;m
1;Samil;m
4;Samir;m
1;Sammy-Adam;m
1;Samson;m
26;Samuel;m
1;Samy;m
1;Samy-Jo;m
1;Sana;m
2;Sander;m
1;Sandro;m
1;Saner;m
1;Sanq;m
1;Santino;m
1;Santo-Benito;m
1;Sascha;m
1;Sawyer;m
1;Schahzad;m
1;Schoaib;m
2;Sean;m
12;Sebastian;m
1;Sebayitin;m
1;Sefer;m
1;Selim;m
1;Selman;m
1;Selmir;m
1;Selmon;m
4;Semih;m
1;Semih-Robert;m
1;Semijel;m
1;Semino;m
1;Seoul;m
1;Sepehr;m
1;Serafedin;m
1;Sergej;m
1;Sergio;m
2;Serhat;m
1;Seth;m
1;Setor;m
1;Seung;m
1;Seyed;m
1;Shacin;m
1;Shady;m
1;Shaheer;m
1;Shamil;m
1;Shan;m
1;Shane;m
1;Shayan;m
1;Shervin;m
1;Shezada;m
1;Shivan;m
1;Shouta;m
1;Shun;m
1;Shuto;m
1;Sibran;m
1;Sidney;m
1;Siegfried;m
1;Sierk;m
1;Sihao;m
8;Silas;m
1;Simón;m
1;Simeon;m
21;Simon;m
1;Simone-Paolo;m
2;Sinan;m
1;Sky;m
1;Sofian;m
1;Sota;m
1;Sotirios;m
3;Soufian;m
2;Souhaib;m
1;Souliman;m
1;Srivibhutarenyarithvik;m
1;Stanislaw;m
1;Stanton;m
9;Stefan;m
1;Stefan-Florian;m
1;Stefano;m
2;Steffen;m
1;Stellio;m
4;Stephan;m
1;Stephane;m
2;Stephen;m
1;Stevan;m
1;Suguru;m
1;Sukhdip;m
1;Sunny-California;m
1;Surena;m
3;Sven;m
1;Syun;m
1;Szymon;m
1;Tadas;m
1;Tadeus-Manfred;m
3;Taha;m
1;Tahir;m
1;Tahiri-Hamza;m
1;Taiowa;m
1;Taiyo;m
1;Takuma;m
1;Takumi;m
1;Talha;m
1;Tamer;m
1;Tamim;m
2;Tamino;m
1;Tan;m
1;Tao;m
1;Tarık-Ali;m
2;Tarek;m
1;Tarkan;m
1;Taro;m
1;Tat;m
1;Tate;m
1;Taylan;m
1;Tayler;m
1;Tayler-Lucien;m
